Date,year,month,day,Season
2021-04-29,2021,4,29,2
2021-04-30,2021,4,30,2
2021-05-01,2021,5,1,2
2021-05-03,2021,5,3,2
2021-05-04,2021,5,4,2
2021-05-05,2021,5,5,2
2021-05-06,2021,5,6,2
2021-05-07,2021,5,7,2
2021-05-08,2021,5,8,2
2021-05-11,2021,5,11,2
2021-05-12,2021,5,12,2
2021-05-13,2021,5,13,2
2021-05-14,2021,5,14,2
2021-05-15,2021,5,15,2
2021-05-17,2021,5,17,2
2021-05-18,2021,5,18,2
2021-05-19,2021,5,19,2
2021-05-20,2021,5,20,2
2021-05-21,2021,5,21,2
2021-05-22,2021,5,22,2
2021-05-24,2021,5,24,2
2021-05-25,2021,5,25,2
2021-05-26,2021,5,26,2
2021-05-27,2021,5,27,2
2021-05-28,2021,5,28,2
2021-05-31,2021,5,31,2
2021-06-01,2021,6,1,2
2021-06-02,2021,6,2,2
2021-06-03,2021,6,3,2
2021-06-04,2021,6,4,2
2021-06-05,2021,6,5,2
2021-06-06,2021,6,6,2
2021-06-07,2021,6,7,2
2021-06-08,2021,6,8,2
2021-06-09,2021,6,9,2
2021-06-10,2021,6,10,2
2021-06-11,2021,6,11,2
2021-06-12,2021,6,12,2
2021-06-14,2021,6,14,2
2021-06-15,2021,6,15,2
2021-06-16,2021,6,16,2
2021-06-17,2021,6,17,2
2021-06-18,2021,6,18,2
2021-06-19,2021,6,19,2
2021-06-21,2021,6,21,2
2021-06-22,2021,6,22,2
2021-06-23,2021,6,23,2
2021-06-24,2021,6,24,2
2021-06-25,2021,6,25,2
2021-06-26,2021,6,26,2
2021-06-28,2021,6,28,2
2021-06-29,2021,6,29,2
2021-06-30,2021,6,30,2
2021-07-01,2021,7,1,3
2021-07-02,2021,7,2,3
2021-07-03,2021,7,3,3
2021-07-05,2021,7,5,3
2021-07-06,2021,7,6,3
2021-07-07,2021,7,7,3
2021-07-08,2021,7,8,3
2021-07-09,2021,7,9,3
2021-07-10,2021,7,10,3
2021-07-12,2021,7,12,3
2021-07-13,2021,7,13,3
2021-07-14,2021,7,14,3
2021-07-15,2021,7,15,3
2021-07-16,2021,7,16,3
2021-07-17,2021,7,17,3
2021-07-19,2021,7,19,3
2021-07-20,2021,7,20,3
2021-07-21,2021,7,21,3
2021-07-22,2021,7,22,3
2021-07-23,2021,7,23,3
2021-07-24,2021,7,24,3
2021-07-26,2021,7,26,3
2021-07-27,2021,7,27,3
2021-07-28,2021,7,28,3
2021-07-29,2021,7,29,3
2021-07-30,2021,7,30,3
2021-07-31,2021,7,31,3
2021-08-02,2021,8,2,3
2021-08-03,2021,8,3,3
2021-08-04,2021,8,4,3
2021-08-05,2021,8,5,3
2021-08-06,2021,8,6,3
2021-08-07,2021,8,7,3
2021-08-09,2021,8,9,3
2021-08-10,2021,8,10,3
2021-08-11,2021,8,11,3
2021-08-12,2021,8,12,3
2021-08-13,2021,8,13,3
2021-08-14,2021,8,14,3
2021-08-16,2021,8,16,3
2021-08-17,2021,8,17,3
2021-08-18,2021,8,18,3
2021-08-19,2021,8,19,3
2021-08-20,2021,8,20,3
2021-08-21,2021,8,21,3
2021-08-22,2021,8,22,3
2021-08-23,2021,8,23,3
2021-08-24,2021,8,24,3
2021-08-25,2021,8,25,3
2021-08-26,2021,8,26,3
2021-08-27,2021,8,27,3
2021-08-28,2021,8,28,3
2021-08-29,2021,8,29,3
2021-08-30,2021,8,30,3
2021-09-03,2021,9,3,3
2021-09-06,2021,9,6,3
2021-09-07,2021,9,7,3
2021-09-08,2021,9,8,3
2021-09-09,2021,9,9,3
2021-09-10,2021,9,10,3
2021-09-11,2021,9,11,3
2021-09-13,2021,9,13,3
2021-09-14,2021,9,14,3
2021-09-15,2021,9,15,3
2021-09-16,2021,9,16,3
2021-09-17,2021,9,17,3
2021-09-18,2021,9,18,3
2021-09-20,2021,9,20,3
2021-09-21,2021,9,21,3
2021-09-22,2021,9,22,3
2021-09-23,2021,9,23,3
2021-09-24,2021,9,24,3
2021-09-25,2021,9,25,3
2021-09-28,2021,9,28,3
2021-09-29,2021,9,29,3
2021-09-30,2021,9,30,3
2021-10-01,2021,10,1,4
2021-10-04,2021,10,4,4
2021-10-05,2021,10,5,4
2021-10-06,2021,10,6,4
2021-10-07,2021,10,7,4
2021-10-08,2021,10,8,4
2021-10-10,2021,10,10,4
2021-10-11,2021,10,11,4
2021-10-12,2021,10,12,4
2021-10-13,2021,10,13,4
2021-10-14,2021,10,14,4
2021-10-15,2021,10,15,4
2021-10-16,2021,10,16,4
2021-10-18,2021,10,18,4
2021-10-19,2021,10,19,4
2021-10-20,2021,10,20,4
2021-10-21,2021,10,21,4
2021-10-22,2021,10,22,4
2021-10-24,2021,10,24,4
2021-10-25,2021,10,25,4
2021-10-26,2021,10,26,4
2021-10-27,2021,10,27,4
2021-10-28,2021,10,28,4
2021-10-29,2021,10,29,4
2021-11-01,2021,11,1,4
2021-11-03,2021,11,3,4
2021-11-04,2021,11,4,4
2021-11-05,2021,11,5,4
2021-11-08,2021,11,8,4
2021-11-09,2021,11,9,4
2021-11-10,2021,11,10,4
2021-11-11,2021,11,11,4
2021-11-12,2021,11,12,4
2021-11-15,2021,11,15,4
2021-11-16,2021,11,16,4
2021-11-17,2021,11,17,4
2021-11-18,2021,11,18,4
2021-11-19,2021,11,19,4
2021-11-22,2021,11,22,4
2021-11-23,2021,11,23,4
2021-11-24,2021,11,24,4
2021-11-25,2021,11,25,4
2021-11-26,2021,11,26,4
2021-11-29,2021,11,29,4
2021-11-30,2021,11,30,4
2021-12-01,2021,12,1,4
2021-12-02,2021,12,2,4
2021-12-03,2021,12,3,4
2021-12-06,2021,12,6,4
2021-12-07,2021,12,7,4
2021-12-08,2021,12,8,4
2021-12-09,2021,12,9,4
2021-12-10,2021,12,10,4
2021-12-13,2021,12,13,4
2021-12-14,2021,12,14,4
2021-12-15,2021,12,15,4
2021-12-16,2021,12,16,4
2021-12-17,2021,12,17,4
2021-12-20,2021,12,20,4
2021-12-21,2021,12,21,4
2021-12-22,2021,12,22,4
2021-12-23,2021,12,23,4
2021-12-24,2021,12,24,4
2021-12-27,2021,12,27,4
2021-12-28,2021,12,28,4
2021-12-29,2021,12,29,4
2021-12-30,2021,12,30,4
2022-01-03,2022,1,3,1
2022-01-04,2022,1,4,1
2022-01-05,2022,1,5,1
2022-01-06,2022,1,6,1
2022-01-07,2022,1,7,1
2022-01-10,2022,1,10,1
2022-01-11,2022,1,11,1
2022-01-12,2022,1,12,1
2022-01-13,2022,1,13,1
2022-01-14,2022,1,14,1
2022-01-17,2022,1,17,1
2022-01-18,2022,1,18,1
2022-01-19,2022,1,19,1
2022-01-20,2022,1,20,1
2022-01-21,2022,1,21,1
2022-01-24,2022,1,24,1
2022-01-25,2022,1,25,1
2022-01-26,2022,1,26,1
2022-01-27,2022,1,27,1
2022-01-28,2022,1,28,1
2022-01-31,2022,1,31,1
2022-02-01,2022,2,1,1
2022-02-02,2022,2,2,1
2022-02-03,2022,2,3,1
2022-02-04,2022,2,4,1
2022-02-07,2022,2,7,1
2022-02-08,2022,2,8,1
2022-02-09,2022,2,9,1
2022-02-10,2022,2,10,1
2022-02-11,2022,2,11,1
2022-02-12,2022,2,12,1
2022-02-14,2022,2,14,1
2022-02-15,2022,2,15,1
2022-02-16,2022,2,16,1
2022-02-17,2022,2,17,1
2022-02-18,2022,2,18,1
2022-02-19,2022,2,19,1
2022-02-21,2022,2,21,1
2022-02-22,2022,2,22,1
2022-02-23,2022,2,23,1
2022-02-24,2022,2,24,1
2022-02-25,2022,2,25,1
2022-02-28,2022,2,28,1
2022-03-01,2022,3,1,1
2022-03-02,2022,3,2,1
2022-03-03,2022,3,3,1
2022-03-04,2022,3,4,1
2022-03-07,2022,3,7,1
2022-03-08,2022,3,8,1
2022-03-09,2022,3,9,1
2022-03-10,2022,3,10,1
2022-03-11,2022,3,11,1
2022-03-14,2022,3,14,1
2022-03-15,2022,3,15,1
2022-03-16,2022,3,16,1
2022-03-17,2022,3,17,1
2022-03-18,2022,3,18,1
2022-03-21,2022,3,21,1
2022-03-22,2022,3,22,1
2022-03-23,2022,3,23,1
2022-03-24,2022,3,24,1
2022-03-25,2022,3,25,1
2022-03-28,2022,3,28,1
2022-03-29,2022,3,29,1
2022-03-30,2022,3,30,1
2022-03-31,2022,3,31,1
2022-04-01,2022,4,1,2
2022-04-04,2022,4,4,2
2022-04-05,2022,4,5,2
2022-04-06,2022,4,6,2
2022-04-07,2022,4,7,2
2022-04-09,2022,4,9,2
2022-04-11,2022,4,11,2
2022-04-12,2022,4,12,2
2022-04-13,2022,4,13,2
2022-04-14,2022,4,14,2
2022-04-15,2022,4,15,2
2022-04-16,2022,4,16,2
2022-04-18,2022,4,18,2
2022-04-19,2022,4,19,2
2022-04-20,2022,4,20,2
2022-04-21,2022,4,21,2
2022-04-22,2022,4,22,2
2022-04-23,2022,4,23,2
2022-04-25,2022,4,25,2
2022-04-26,2022,4,26,2
2022-04-27,2022,4,27,2
2022-04-28,2022,4,28,2
2022-04-29,2022,4,29,2
2022-04-30,2022,4,30,2
2022-05-02,2022,5,2,2
2022-05-03,2022,5,3,2
2022-05-04,2022,5,4,2
2022-05-05,2022,5,5,2
2022-05-06,2022,5,6,2
2022-05-10,2022,5,10,2
2022-05-11,2022,5,11,2
2022-05-12,2022,5,12,2
2022-05-13,2022,5,13,2
2022-05-16,2022,5,16,2
2022-05-17,2022,5,17,2
2022-05-18,2022,5,18,2
2022-05-19,2022,5,19,2
2022-05-20,2022,5,20,2
2022-05-23,2022,5,23,2
2022-05-24,2022,5,24,2
2022-05-25,2022,5,25,2
2022-05-26,2022,5,26,2
2022-05-27,2022,5,27,2
2022-05-28,2022,5,28,2
2022-05-30,2022,5,30,2
2022-05-31,2022,5,31,2
2022-06-01,2022,6,1,2
2022-06-02,2022,6,2,2
2022-06-03,2022,6,3,2
2022-06-05,2022,6,5,2
2022-06-06,2022,6,6,2
2022-06-07,2022,6,7,2
2022-06-08,2022,6,8,2
2022-06-09,2022,6,9,2
2022-06-10,2022,6,10,2
2022-06-13,2022,6,13,2
2022-06-14,2022,6,14,2
2022-06-15,2022,6,15,2
2022-06-16,2022,6,16,2
2022-06-17,2022,6,17,2
2022-06-18,2022,6,18,2
2022-06-20,2022,6,20,2
2022-06-21,2022,6,21,2
2022-06-22,2022,6,22,2
2022-06-23,2022,6,23,2
2022-06-24,2022,6,24,2
2022-06-25,2022,6,25,2
2022-06-27,2022,6,27,2
2022-06-28,2022,6,28,2
2022-06-29,2022,6,29,2
2022-06-30,2022,6,30,2
2022-07-01,2022,7,1,3
2022-07-03,2022,7,3,3
2022-07-04,2022,7,4,3
2022-07-05,2022,7,5,3
2022-07-06,2022,7,6,3
2022-07-07,2022,7,7,3
2022-07-08,2022,7,8,3
2022-07-09,2022,7,9,3
2022-07-11,2022,7,11,3
2022-07-12,2022,7,12,3
2022-07-13,2022,7,13,3
2022-07-14,2022,7,14,3
2022-07-15,2022,7,15,3
2022-07-16,2022,7,16,3
2022-07-18,2022,7,18,3
2022-07-19,2022,7,19,3
2022-07-20,2022,7,20,3
2022-07-21,2022,7,21,3
2022-07-22,2022,7,22,3
2022-07-23,2022,7,23,3
2022-07-25,2022,7,25,3
2022-07-26,2022,7,26,3
2022-07-27,2022,7,27,3
2022-07-28,2022,7,28,3
2022-07-29,2022,7,29,3
2022-07-30,2022,7,30,3
2022-08-02,2022,8,2,3
2022-08-03,2022,8,3,3
2022-08-04,2022,8,4,3
2022-08-05,2022,8,5,3
2022-08-06,2022,8,6,3
2022-08-07,2022,8,7,3
2022-08-08,2022,8,8,3
2022-08-09,2022,8,9,3
2022-08-10,2022,8,10,3
2022-08-11,2022,8,11,3
2022-08-12,2022,8,12,3
2022-08-13,2022,8,13,3
2022-08-14,2022,8,14,3
2022-08-15,2022,8,15,3
2022-08-16,2022,8,16,3
2022-08-17,2022,8,17,3
2022-08-18,2022,8,18,3
2022-08-19,2022,8,19,3
2022-08-20,2022,8,20,3
2022-08-26,2022,8,26,3
2022-08-27,2022,8,27,3
2022-08-29,2022,8,29,3
2022-08-30,2022,8,30,3
2022-08-31,2022,8,31,3
2022-09-01,2022,9,1,3
2022-09-02,2022,9,2,3
2022-09-05,2022,9,5,3
2022-09-06,2022,9,6,3
2022-09-07,2022,9,7,3
2022-09-08,2022,9,8,3
2022-09-09,2022,9,9,3
2022-09-10,2022,9,10,3
2022-09-12,2022,9,12,3
2022-09-13,2022,9,13,3
2022-09-14,2022,9,14,3
2022-09-15,2022,9,15,3
2022-09-16,2022,9,16,3
2022-09-17,2022,9,17,3
2022-09-19,2022,9,19,3
2022-09-20,2022,9,20,3
2022-09-21,2022,9,21,3
2022-09-22,2022,9,22,3
2022-09-23,2022,9,23,3
2022-09-24,2022,9,24,3
2022-09-26,2022,9,26,3
2022-09-28,2022,9,28,3
2022-09-29,2022,9,29,3
2022-09-30,2022,9,30,3
2022-10-01,2022,10,1,4
2022-10-03,2022,10,3,4
2022-10-04,2022,10,4,4
2022-10-05,2022,10,5,4
2022-10-06,2022,10,6,4
2022-10-07,2022,10,7,4
2022-10-08,2022,10,8,4
2022-10-10,2022,10,10,4
2022-10-11,2022,10,11,4
2022-10-12,2022,10,12,4
2022-10-13,2022,10,13,4
2022-10-14,2022,10,14,4
2022-10-15,2022,10,15,4
2022-10-17,2022,10,17,4
2022-10-18,2022,10,18,4
2022-10-19,2022,10,19,4
2022-10-20,2022,10,20,4
2022-10-21,2022,10,21,4
2022-10-24,2022,10,24,4
2022-10-25,2022,10,25,4
2022-10-26,2022,10,26,4
2022-10-27,2022,10,27,4
2022-10-28,2022,10,28,4
2022-10-31,2022,10,31,4
2022-11-03,2022,11,3,4
2022-11-04,2022,11,4,4
2022-11-05,2022,11,5,4
2022-11-07,2022,11,7,4
2022-11-08,2022,11,8,4
2022-11-09,2022,11,9,4
2022-11-10,2022,11,10,4
2022-11-11,2022,11,11,4
2022-11-12,2022,11,12,4
2022-11-14,2022,11,14,4
2022-11-15,2022,11,15,4
2022-11-16,2022,11,16,4
2022-11-17,2022,11,17,4
2022-11-18,2022,11,18,4
2022-11-21,2022,11,21,4
2022-11-22,2022,11,22,4
2022-11-23,2022,11,23,4
2022-11-24,2022,11,24,4
2022-11-25,2022,11,25,4
2022-11-26,2022,11,26,4
2022-11-29,2022,11,29,4
2022-11-30,2022,11,30,4
2022-12-01,2022,12,1,4
2022-12-02,2022,12,2,4
2022-12-03,2022,12,3,4
2022-12-05,2022,12,5,4
2022-12-06,2022,12,6,4
2022-12-07,2022,12,7,4
2022-12-08,2022,12,8,4
2022-12-09,2022,12,9,4
2022-12-10,2022,12,10,4
2022-12-12,2022,12,12,4
2022-12-13,2022,12,13,4
2022-12-14,2022,12,14,4
2022-12-15,2022,12,15,4
2022-12-16,2022,12,16,4
2022-12-17,2022,12,17,4
2022-12-19,2022,12,19,4
2022-12-20,2022,12,20,4
2022-12-21,2022,12,21,4
2022-12-22,2022,12,22,4
2022-12-23,2022,12,23,4
2022-12-26,2022,12,26,4
2022-12-27,2022,12,27,4
2023-01-07,2023,1,7,1
2022-12-24,2022,12,24,4
2022-12-28,2022,12,28,4
